label,websocket,wasm,hash_function,webworkers,messageloop_load,postmessage_load,parallel_functions
1,1,1,1,38,15217982,466438478,1
1,1,0,0,31,18961382,848394958,1
1,1,0,1,28,27971718,38516200,1
1,1,0,0,24,29263793,85948503,1
1,1,1,1,23,17049616,36430,1
1,1,1,1,21,6884528,5227060,1
1,1,0,1,18,36485836,295526920,1
1,1,1,1,18,23138375,485395840,0
1,1,0,0,17,14250858,45334535,1
1,1,1,0,17,11737156,66645355,1
1,1,1,1,17,13220195,5491620,0
1,1,0,0,17,18427083,55545633,1
1,1,0,1,17,21587951,164452550,1
1,1,0,0,17,21659386,76497494,1
1,1,1,1,17,25079736,324560,1
1,1,1,1,17,15443756,8948944,1
1,1,1,0,17,11961238,889489,1
1,1,1,0,17,15909498,938498,1
1,1,1,1,17,17896689,84897933,1
1,1,1,0,17,20065764,8938944,1
1,1,1,1,17,18437311,164856280,0
1,1,1,0,17,19475982,100639660,1
1,1,1,0,17,18645140,37479873,1
1,1,1,0,17,14208088,4355322,1
1,1,1,1,17,20265824,123812020,1
1,1,1,0,17,19923335,93654580,1
1,1,0,1,17,22972335,49938440,1
1,1,1,1,17,103005304,885336980,1
1,1,0,1,17,97215654,933355250,1
1,1,0,1,17,35574898,765787456,1
1,1,0,1,17,87825369,844890350,1
1,1,0,0,17,10276830,666756,1
1,1,0,0,17,18868983,75456477,0
1,1,1,0,17,21183868,7675456,1
1,1,1,1,17,21923689,6543234,1
1,1,1,1,17,71392674,661073000,1
1,1,0,1,17,13204847,95795040,1
1,1,0,0,17,19017589,32204070,1
1,1,0,1,17,10494673,68006430,1
1,1,0,1,17,14157851,57181510,1
1,1,0,1,17,19917547,67241360,1
1,1,0,1,17,74033771,8887656,1
1,1,1,0,17,3758524,4565456,1
1,1,0,1,17,10472959,67564,1
1,1,1,1,17,10997506,69216120,1
1,1,0,1,17,55956064,547936290,1
1,1,1,0,17,13548306,93560590,0
1,1,1,1,17,13269779,77104950,1
1,1,1,0,17,20057954,9854566,1
1,1,1,0,17,13366281,53480,1
1,1,1,0,17,29000476,6655745,1
1,1,0,0,17,15583400,42110,1
1,1,0,0,17,18202774,6644554,1
1,1,0,1,17,18644993,46367640,1
1,1,1,0,17,36995052,411400,1
1,1,0,1,17,53253746,521130220,1
1,1,0,1,17,33791252,5546745,0
1,1,0,1,17,39879284,66300070,0
1,1,0,1,17,28386551,44461470,0
1,1,0,1,17,14214722,5555830,1
1,1,1,0,17,11441389,859445,1
1,1,1,1,17,13495463,34364,1
1,1,1,1,17,29273081,87780,1
1,1,1,1,17,24788030,1829320,0
1,1,1,1,17,25698443,2337100,1
1,1,1,0,17,10385393,64673436,1
1,1,0,1,17,20518949,35627570,1
1,1,1,1,14,35267389,33275110,1
1,1,0,1,14,26532552,41253870,1
1,1,0,1,14,34715070,315733540,1
1,1,0,1,14,37090623,334797510,1
1,1,0,0,14,11492274,5484930,1
1,1,1,1,14,17617793,337990590,1
1,1,0,1,14,15707857,38409590,1
1,1,0,1,14,16770889,350758610,1
1,1,0,1,14,14997869,111912290,1
1,1,1,1,14,27536858,62730430,1
1,1,0,1,14,15234360,31970130,1
1,1,0,0,14,26567137,66445465,1
1,1,0,1,14,37806419,337467050,1
1,1,0,1,14,57074548,25336630,0
1,1,0,1,14,37504936,54533343,0
1,1,0,1,14,22100088,55564564,0
1,1,0,1,14,17030909,556453,0
1,1,0,1,14,13656254,645454,0
1,1,0,1,14,15477838,5675930,0
1,1,0,1,14,11704170,1760,1
1,1,0,1,14,12348134,5454644,0
1,1,0,1,14,11722825,44710,1
1,1,0,1,14,10820349,66455,0
1,1,0,1,14,11806841,5454743,0
1,1,0,1,14,13054383,34343553,0
1,1,1,1,14,11294902,64490,0
1,1,1,1,14,14798300,6674533,0
1,1,1,1,14,8257036,2093050,0
1,1,1,0,14,3337672,67360,1
1,1,1,0,14,1465589,6645333,0
1,1,1,0,14,11920596,129470,0
1,1,1,0,14,20721506,47830,0
1,1,0,1,14,10023494,6383170,0
1,1,0,1,14,7549320,7989579,0
1,1,1,1,14,12783459,1516520,1
1,1,1,0,14,8002435,77849696,0
1,1,0,1,14,173992019,105697720,0
1,1,0,1,14,73252252,20679980,0
1,1,1,1,14,19734477,168887360,0
1,1,1,1,14,4156902,16013130,0
1,1,1,1,14,7996966,16020060,1
1,1,1,1,14,16505041,158682850,1
1,1,1,0,14,25478331,553135,1
1,1,1,1,14,25563536,23784950,1
1,1,1,1,14,19793811,14788150,0
1,1,1,0,14,31682801,1343156,0
1,1,1,0,14,26062884,798110,0
1,1,1,1,14,13982230,4766480,0
1,1,1,0,14,15300253,9534510,1
1,1,1,1,14,19434267,61304880,0
1,1,0,0,14,15587015,63543146,0
1,1,0,1,14,23050061,16950980,0
1,1,1,1,14,20740286,8090810,0
1,1,1,0,14,12325386,47200,0
1,1,1,1,14,20237518,6531156,0
1,1,1,0,14,27248217,13550,0
1,1,1,1,14,12778357,651344,1
1,1,1,0,14,15356265,5426642,0
1,1,0,1,14,23038776,932050,0
1,1,1,1,14,12072118,648700,0
1,1,0,1,14,18302873,524522,0
1,1,1,1,14,17322826,5245621,0
1,1,1,1,14,18528361,50390,0
1,1,1,0,14,22260201,1452562,1
1,1,1,1,14,25867202,153930,0
1,1,1,1,14,15448704,605990,0
1,1,1,0,14,14363397,1442260,0
1,1,1,0,14,15884063,6425624,0
1,1,0,1,14,19141036,9180,1
1,1,0,1,14,13573703,6452624,0
1,1,0,1,14,13643947,542562,0
1,1,1,0,14,15291198,2456246,0
1,1,1,0,14,16215192,65426244,0
1,1,1,0,14,19067604,5642624,0
1,1,1,1,14,13311663,56665245,0
1,1,1,1,14,19058924,445050,0
1,1,0,1,14,16204579,1552300,0
1,1,0,1,14,12328712,52462,0
1,1,0,1,14,12623649,5256662,0
1,1,1,0,14,13950052,1845120,1
1,1,1,1,14,17314309,6245622,0
1,1,1,1,14,17883489,6546542,0
1,1,0,0,14,14725947,12390,0
1,1,0,1,14,14230779,24425642,0
1,1,1,1,14,12120418,53170,0
1,1,1,0,14,17610570,452452456,0
1,1,0,1,14,19221917,1027920,0
1,1,1,1,14,13938791,2823750,0
1,1,0,1,14,15034637,52456222,1
1,1,0,1,14,8520821,2562480,0
1,1,0,1,14,5955570,54256222,0
1,1,1,0,14,8512486,424562,0
1,1,1,1,14,483568,2037360,0
1,1,1,0,14,4942170,24562454,0
1,1,1,0,14,10273203,995960,1
1,1,0,0,14,5788535,56245255,1
1,1,0,1,14,3483013,566654224,1
1,1,0,0,14,8051023,770170,1
1,1,0,1,14,3987820,1228840,0
1,1,1,1,14,9260233,54566442,0
1,1,1,0,14,4575164,456422,0
1,1,1,1,14,7926249,10920,0
1,1,1,1,14,16144707,907340,1
1,1,1,1,14,13911306,978785,1
1,1,1,0,14,12088225,8758999,1
1,1,0,1,14,3389923,878957,1
1,1,1,1,14,10392124,9467864,0
1,1,1,1,12,3668503,4887646,1
1,1,0,1,12,6125663,1295520,0
1,1,0,0,12,19055550,46789679,1
1,1,1,1,12,15984964,10124830,0
1,1,1,0,12,12803441,97646786,0
1,1,1,0,12,8620626,9764677,1
1,1,1,1,12,15446773,1106760,1
1,1,1,0,12,15835607,9764367,0
1,1,1,0,12,9612778,1569250,1
1,1,1,1,12,11064676,97644677,1
1,1,1,0,12,19051470,1234510,1
1,1,1,0,12,9514400,97643377,1
1,1,1,1,12,11875176,2938930,1
1,1,1,0,12,10565662,97636797,0
1,1,1,1,12,6036174,1189270,1
1,1,1,1,12,11670492,97643678,0
1,1,1,1,12,6137004,9764567,0
1,1,1,1,12,15933120,76788748,1
1,1,1,1,12,10904673,8879468,1
1,1,1,1,12,16408251,7784636,1
1,1,1,1,12,7387154,2132770,0
1,1,0,1,12,17556447,926830,1
1,1,0,0,12,14875310,11315930,1
1,1,0,1,12,19152578,7674,1
1,1,0,1,12,11031045,49720,1
1,1,0,1,12,13633508,2107400,0
1,1,1,1,12,16595235,1060,1
1,1,0,0,12,13699291,826130,1
1,1,1,1,12,11630237,563584,1
1,1,1,1,12,14230643,478478,1
1,1,1,1,12,16906278,566375,0
1,1,1,1,12,10266057,788740,0
1,1,1,0,12,14480472,5468468,0
1,1,1,0,12,13463270,8784793,1
1,1,0,1,12,18295962,667467,1
1,1,0,1,12,13945910,452456,1
1,1,0,1,12,11231844,73684,0
1,1,1,1,12,22099273,4534634,1
1,1,1,1,12,10628540,673664,1
1,1,0,1,12,19050520,564684,1
1,1,1,1,12,23898022,778749,1
1,1,0,1,12,15536948,57190,1
1,1,1,1,12,17335252,842240,1
1,1,1,1,12,11670634,787487,1
1,1,1,1,12,11313862,78444,1
1,1,1,1,12,10340940,97498,1
1,1,1,1,12,12246215,89479,1
1,1,1,1,12,12490300,84439,1
1,1,1,1,12,16140278,380580,1
1,1,1,1,12,9145700,54564,1
1,1,1,1,12,16932082,2090,0
1,1,1,0,12,23866473,10780,0
1,1,1,0,12,14245488,2880,1
1,1,1,1,12,16872351,35246,1
1,1,1,1,12,22213507,65373,1
1,1,1,1,12,15628588,67468,1
1,1,1,1,12,19977480,448897,1
1,1,1,1,12,16710957,5367940,1
1,1,1,0,12,18239331,235840,1
1,1,1,0,12,20206890,65388,1
1,1,1,0,12,19217199,1450230,1
1,1,1,1,12,17954590,558639,1
1,1,1,0,12,19563786,798374,1
1,1,1,1,12,26980262,869637,1
1,1,1,1,12,11755211,7784693,0
1,1,1,0,12,13730348,786403,1
1,1,1,1,12,16131404,2122890,1
1,1,0,0,12,19815306,447747,0
1,1,0,1,12,22191774,7984730,0
1,1,0,1,12,12871123,677840,0
1,1,0,1,12,9884485,31174220,1
1,1,0,1,12,10507951,561140,1
1,1,0,0,12,13215311,990938,1
1,1,0,1,12,15541620,37930,0
1,1,0,0,12,11225808,263960,0
1,1,1,0,12,14303329,678893,0
1,1,1,0,12,20577582,98933,1
1,1,1,0,12,15651295,894434,1
1,1,1,0,12,13741924,1952160,1
1,1,1,0,12,13570838,388479,1
1,1,1,0,12,10449730,308984,1
1,1,1,0,12,31630411,88943,1
1,1,1,0,12,9253579,103170,1
1,1,1,0,12,18083973,1134350,1
1,1,1,0,12,20718938,976460,1
1,1,1,0,12,12860180,299380,1
1,1,1,0,12,14503570,94899,1
1,1,1,0,12,11631870,78598,1
1,1,1,0,12,26829890,3630,0
1,1,0,0,12,12602510,44889,1
1,1,0,0,12,12413180,937844,0
1,1,0,0,12,17948083,566648,0
1,1,1,0,12,13102645,55600,0
1,1,1,0,12,15107903,15970,1
1,1,1,1,12,18012889,556573,0
1,1,1,1,12,16304019,784793,0
1,1,1,1,12,17732576,8843,0
1,1,1,1,12,11716925,78783,1
1,1,1,1,12,11387920,890443,1
1,1,1,1,12,17434386,887404,1
1,1,1,1,12,12332440,757630,1
1,1,1,0,12,8611443,187880,1
1,1,1,1,12,13920880,2334673,1
1,1,1,0,12,10033828,4217720,1
1,1,1,1,12,13108570,889343,0
1,1,1,0,12,18591881,1117720,0
1,1,1,1,12,18151960,898384,0
1,1,1,0,12,14417189,7748733,0
1,1,1,0,12,11746426,564893,1
1,1,1,1,12,17366940,8873004,1
1,1,1,1,12,13287471,778340,1
1,1,1,0,12,15614822,454780,0
1,1,1,0,12,12719359,56546,1
1,1,1,1,12,19481673,79934,1
1,1,1,1,12,17293062,8984,1
1,1,1,1,12,18907449,446388,1
1,1,1,1,12,9676948,88945,1
1,1,1,0,10,16779610,1148750,1
1,1,1,1,10,16264839,219690,1
1,1,1,0,10,18734146,4730,1
1,1,1,1,10,17303033,2147910,1
1,1,1,0,10,13665791,20778740,1
1,1,1,0,10,29647232,749730,1
1,1,1,0,10,13892495,50630,1
1,1,1,0,10,17014472,899034,1
1,1,1,0,10,17257881,217050,1
1,1,1,0,10,19780490,7784980,1
1,1,1,1,10,15509602,547993,1
1,1,1,1,10,16177068,16890530,1
1,1,1,0,10,14038867,907748,1
1,1,1,0,10,12841959,94370,0
1,1,1,1,10,17570812,204500,0
1,1,1,1,10,10739780,77894,0
1,1,1,1,10,11746111,725750,1
1,1,1,1,10,8886140,799394,1
1,1,1,1,10,16743869,5648933,1
1,1,1,0,10,14864116,4015920,1
1,1,1,1,10,9774716,198460,1
1,1,1,1,10,12244550,6638944,1
1,1,1,0,10,17474950,679004,1
1,1,1,0,10,12641545,78749,1
1,1,1,0,10,9141306,1627466,1
1,1,0,0,10,8647785,735590,1
1,1,1,0,10,7950118,1663782,1
1,1,1,0,10,8178962,817709,1
1,1,1,0,10,8571096,120170,1
1,1,1,0,10,8683826,14677,1
1,1,1,0,10,8450959,1677839,1
1,1,1,0,10,8539977,178788,1
1,1,0,0,10,9027781,1388799,1
1,1,0,0,10,9588052,130987,0
1,1,0,0,10,9740328,869160,0
1,1,0,0,10,10045997,1387888,1
1,1,1,0,10,11846130,43635,1
1,1,1,0,10,16813560,673784,1
1,1,1,0,10,12477142,76847,1
1,1,1,0,10,10627581,766387,1
1,1,1,0,10,13036640,765493,1
1,1,1,0,10,11133483,73342,1
1,1,1,0,10,926055,4325776,0
1,1,1,0,10,11988620,11090,1
1,1,1,0,10,23742308,7653554,1
1,1,1,0,10,8053779,554466,1
1,1,1,0,10,7441015,292360,1
1,1,1,0,10,8411325,1210,1
1,1,1,0,10,7040311,3530,1
1,1,1,0,10,26896874,66542,1
1,1,1,0,10,15016042,338540,1
1,1,1,0,10,6295938,1795310,1
1,1,1,0,10,8914979,107960,1
1,1,1,0,10,8461136,2040,1
1,1,1,0,10,7208595,264555,1
1,1,1,0,10,14307520,43920,1
1,1,1,0,10,4660690,1530,1
1,1,1,0,10,14343654,881950,1
1,1,1,0,10,1583321,256654,0
1,1,1,0,10,8890512,545774,0
1,1,1,0,10,8124437,398760,0
1,1,1,0,10,12618502,55472,0
1,1,1,0,10,7310598,13980,1
1,1,1,0,10,15788157,453663,1
1,1,1,0,10,7575404,754463,1
1,1,1,0,10,7334811,4543316,1
1,1,1,0,10,7370888,6637544,1
1,1,1,0,10,8133479,735960,1
1,1,1,0,10,19059503,7554224,1
1,1,1,1,10,6059372,812270,1
1,1,1,1,10,8485145,755446,1
1,1,1,0,10,18025483,64645,1
1,1,1,1,10,9725184,456662,1
1,1,1,1,10,9373225,45645,1
1,1,1,0,10,15460815,5677652,1
1,1,1,0,10,8544495,432520,0
1,1,1,0,10,6907608,6547245,1
1,1,1,0,10,8429748,574744,0
1,1,1,0,10,28351740,454567,1
1,1,1,0,10,6547584,74575,1
1,1,1,0,10,5986978,1375030,1
1,1,1,0,10,16424236,66763,1
1,1,1,0,10,13761647,775835,1
1,1,1,0,10,6841754,799973,1
1,1,1,0,10,4576726,75393,1
1,1,0,0,10,4206749,145346,1
1,1,0,0,10,9286912,3582840,1
1,1,0,0,10,7942527,773769,1
1,1,1,0,10,12455595,66536427,1
1,1,1,0,10,4248271,763802,1
1,1,1,0,10,9165291,768639,1
1,1,1,0,10,4657451,608910,1
1,1,1,0,10,7172910,77399,1
1,1,1,0,10,23182502,580710,1
1,1,1,0,10,8414364,65652,0
1,1,0,0,10,11797246,763072,0
1,1,1,0,10,8665983,786302,0
1,1,1,0,10,7707610,321060,1
1,1,1,0,10,8325468,507630,1
1,1,1,0,10,5305416,94456951,1
1,1,1,0,10,7599463,146070105,1
1,1,1,1,10,8793083,124775848,1
1,1,1,0,10,6769739,138106585,1
1,1,1,0,10,9808087,52552656,1
1,1,1,0,10,5797083,24899996,1
1,1,0,1,10,9883798,30246847,1
1,1,0,1,10,8046392,123279935,1
1,1,0,1,10,5909639,97012685,1
1,1,0,1,10,6115711,41904828,1
1,1,1,0,10,5568662,41631706,1
1,1,1,0,10,5568690,2546124,1
1,1,1,0,10,5068662,61843096,0
1,1,1,1,10,8132688,2947386,0
1,1,1,1,10,7646240,3243197,0
1,1,0,1,10,7096240,63040716,0
1,1,0,1,10,7436240,57375264,1
1,1,0,1,10,11021684,66331313,1
1,1,1,0,10,6274427,88256715,1
1,1,1,1,10,5455115,88884930,1
1,1,1,1,10,4305817,38603431,1
1,1,1,1,10,4005417,40118644,1
1,1,1,0,10,10541913,112228481,1
1,1,0,1,10,4839984,28032636,1
1,1,0,1,10,16695959,80694601,1
1,1,1,0,10,7759384,76894597,0
1,1,1,0,10,9583700,121574118,1
1,1,1,0,10,6583700,82447627,1
1,1,1,0,10,5583760,126764123,0
1,1,1,0,10,7958700,129440767,0
1,1,1,0,10,5383760,128975285,0
1,1,1,0,10,6840609,128646094,1
1,1,1,0,10,5665446,32876304,1
1,1,1,0,10,4165243,63230064,1
1,1,0,1,10,6754566,96657767,1
1,1,0,1,10,6152561,126575697,1
1,1,0,1,10,3724562,25064531,1
1,1,0,1,10,4753566,4827530,1
1,1,1,1,10,7372401,36928621,1
1,1,1,1,10,4239914,60957885,1
1,1,1,0,10,5239004,113968962,1
1,1,1,0,10,4230914,12170949,1
1,1,1,0,10,4019210,140273184,1
1,1,1,0,10,4239912,123594221,1
1,1,1,0,10,2198621,23462393,1
1,1,1,0,10,5108611,71313437,1
1,1,1,0,10,4198626,96694484,0
1,1,1,0,10,7147463,26730140,0
1,1,1,0,10,4211775,107376073,0
1,1,1,0,10,7220490,21537446,0
1,1,1,0,10,7100092,96828261,1
1,1,1,0,10,5220322,91381134,0
1,1,1,0,10,6520032,23147225,0
1,1,1,0,10,11541173,19795442,0
1,1,1,0,10,7684973,8686076,0
1,1,1,0,10,4883418,57556699,1
1,1,1,0,10,5437648,8888711,0
1,1,1,0,10,9623525,137197226,1
1,1,1,1,10,8565102,120667136,1
1,1,0,1,10,1281678,140566260,1
1,1,0,1,10,4566040,71028785,1
1,1,0,1,10,15365415,131747225,1
1,1,0,1,10,7136402,14736241,1
1,1,0,1,10,7974307,75059200,1
1,1,0,0,10,4999629,72285030,1
1,1,0,0,10,11348606,12737227,1
1,1,1,0,10,10997964,103390869,0
1,1,1,0,10,6377264,144137552,0
1,1,1,1,10,10443059,96321631,0
1,1,1,1,10,8271919,26120958,0
1,1,1,1,10,4563894,55234775,0
1,1,1,0,10,9894847,115785256,0
1,1,1,0,10,6756483,108992687,0
1,1,1,0,10,5648579,144836554,1
1,1,1,0,10,26700526,24638512,1
1,1,1,0,10,8795794,89981819,1
1,1,1,0,10,8784594,101596942,1
1,1,1,0,10,5495859,74401312,1
1,1,1,0,10,4742640,44099158,0
1,1,1,0,10,3476918,39211089,0
1,1,1,0,10,4498484,121060301,0
1,1,1,0,10,6574839,6180346,1
1,1,1,0,10,5494328,117512147,1
1,1,1,0,10,5685794,85637306,1
1,1,1,0,10,8901972,39422634,1
1,1,1,0,10,6254131,15526609,1
1,1,1,0,10,6574748,97637310,1
1,1,0,1,10,7859488,132000900,1
1,1,0,0,10,5643284,120434008,1
1,1,0,0,10,4364758,47504412,1
1,1,1,0,10,4364586,70579524,1
1,1,1,0,10,27095360,50285490,1
1,1,1,0,10,4104349,112462886,1
1,1,1,0,10,7547084,70141950,1
1,1,1,0,10,6756493,31110982,1
1,1,1,0,10,6579294,89425397,1
1,1,1,0,10,32706725,111285236,1
1,1,1,0,8,1018265,24110540,1
1,1,1,0,10,5133551,53137850,1
1,1,1,0,10,3475479,47759385,1
1,1,1,0,10,5483948,66658180,0
1,1,1,0,10,4593894,41399131,0
1,1,1,0,10,6336149,119558347,0
1,1,0,0,10,5568786,65591751,1
1,1,0,0,10,3458485,72885789,1
1,1,0,0,10,12465464,103942276,1
1,1,1,1,9,8574934,47265953,1
1,1,1,1,9,6574937,32925546,1
1,1,0,0,9,1544542,37754955,1
1,1,0,1,9,10786507,8048752,1
1,1,0,0,9,4563895,7988874,0
1,1,1,0,9,4536548,17062419,0
1,1,1,0,9,4241176,79483082,1
1,1,1,0,9,6574394,56472166,1
1,1,1,0,9,3586976,27280796,1
1,1,1,0,9,3675174,93506133,1
1,1,1,1,9,4738759,59299895,1
1,1,1,1,9,7555076,74339860,1
1,1,1,1,9,12351237,48841341,1
1,1,1,1,9,2787363,88421362,1
1,1,1,1,10,3475595,73374467,1
1,1,1,0,10,6178803,88651693,1
1,1,1,0,10,12573189,24917224,1
1,1,0,0,10,3623695,22579287,0
1,1,1,0,10,3917351,101334293,0
1,1,1,0,9,4374847,42667213,0
1,1,1,0,9,4537584,28687744,0
1,1,1,0,9,6579473,47103934,0
1,1,1,0,9,9433596,71226711,0
1,1,1,0,9,4537264,81515939,1
1,1,1,0,9,3475847,96605324,1
1,1,0,0,10,5283320,64473775,1
1,1,1,0,10,4364847,79711337,1
1,1,1,0,10,5411723,93483503,1
1,1,1,0,10,5463847,1888798,1
